Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,287.24,290.69,285.18,288.75,289.04,87620
2010-07-20,288.76,291.94,285.49,290.47,290.57,28880
2010-07-21,292.04,298.92,276.63,288.76,288.48,69270
2010-07-22,290.43,295.02,286.34,292.59,292.83,100630
2010-07-23,294.57,296.94,291.83,295.36,295.35,96010
2010-07-26,310.33,315.76,297.72,301.54,301.08,60030
2010-07-27,300.03,307.73,299.96,305.66,305.19,32860
2010-07-28,294.79,312.77,292.37,303.68,303.03,26460
2010-07-29,300.54,308.3,294.0,302.88,303.16,87740
2010-07-30,291.71,298.6,288.51,298.04,298.57,36940
2010-08-02,307.37,310.7,294.31,297.85,297.61,60330
2010-08-03,307.69,309.14,294.24,298.35,298.42,23520
2010-08-04,307.94,316.7,306.98,309.93,310.33,31840
2010-08-05,313.76,317.78,305.68,309.1,308.63,4390
2010-08-06,317.89,327.75,294.52,303.89,303.75,98850
2010-08-09,306.57,310.06,300.06,305.98,305.95,41540
2010-08-10,302.3,313.78,301.2,309.46,309.5,17770
2010-08-11,309.55,317.26,306.55,306.92,306.86,53580
2010-08-12,308.77,310.8,307.51,309.04,308.44,14770
2010-08-13,301.52,313.04,299.74,310.47,310.45,57530
2010-08-16,306.88,311.72,298.83,300.37,300.45,31720
2010-08-17,318.49,318.66,301.68,310.17,310.09,9620
2010-08-18,310.34,315.23,309.73,312.93,312.64,30850
2010-08-19,303.67,321.25,297.57,316.27,316.66,67390
2010-08-20,311.02,331.72,304.87,316.61,316.74,25960
2010-08-23,296.88,306.64,294.23,306.03,306.26,35860
2010-08-24,308.26,311.95,307.76,308.82,308.55,3280
2010-08-25,309.96,310.91,301.56,307.74,307.75,90820
2010-08-26,307.17,310.88,301.73,309.47,308.92,42530
2010-08-27,310.28,321.41,306.96,317.94,317.44,77410
2010-08-30,327.84,338.27,324.1,327.09,327.01,64950
2010-08-31,341.1,345.01,328.57,333.99,334.61,24140
2010-09-01,336.48,339.9,322.49,332.15,331.82,53520
2010-09-02,337.48,341.23,330.28,330.53,331.01,27150
2010-09-03,333.76,339.22,330.96,332.43,332.47,18430
2010-09-06,328.17,331.63,326.86,330.51,330.17,47130
2010-09-07,325.23,339.68,321.4,329.95,330.11,54880
2010-09-08,326.0,338.56,324.86,332.67,332.63,17040
2010-09-09,342.0,343.17,331.74,341.05,341.15,50960
2010-09-10,336.81,346.22,327.39,343.32,343.06,1530
2010-09-13,344.75,348.94,338.33,343.04,343.11,27250
2010-09-14,340.12,347.06,333.48,345.36,344.79,77800
2010-09-15,353.05,355.86,346.38,350.45,350.27,67980
2010-09-16,355.33,360.26,354.47,355.87,355.93,59560
2010-09-17,345.82,363.04,344.69,354.74,354.69,73130
2010-09-20,351.06,366.15,341.35,361.42,361.53,100650
2010-09-21,370.06,374.01,353.43,361.93,361.71,27300
2010-09-22,367.0,370.54,363.48,363.95,363.73,90210
2010-09-23,362.91,377.8,357.0,364.88,365.06,115530
2010-09-24,374.36,379.88,361.75,366.58,365.81,58820
2010-09-27,363.78,370.33,361.94,368.48,368.54,56210
2010-09-28,371.92,376.77,361.26,364.47,364.85,16040
2010-09-29,357.16,372.27,352.8,366.64,366.21,100050
2010-09-30,365.93,366.76,363.43,364.98,364.67,6860
2010-10-01,377.64,385.73,363.84,364.01,364.07,43970
2010-10-04,355.13,364.36,347.29,355.75,355.27,37330
2010-10-05,345.38,354.03,342.67,350.48,350.92,64590
2010-10-06,351.7,356.67,349.9,350.17,349.93,59310
2010-10-07,356.93,362.96,354.85,359.7,359.67,70320
2010-10-08,365.72,367.18,362.42,364.67,364.69,58330
2010-10-11,365.02,368.45,355.69,364.66,364.1,74720
2010-10-12,371.64,377.84,365.24,366.71,367.12,42490
2010-10-13,363.07,380.99,361.89,368.64,368.22,3930
2010-10-14,372.84,379.53,370.1,374.88,374.69,83200
2010-10-15,361.1,375.05,357.46,373.7,373.75,6700
2010-10-18,358.87,369.33,358.19,367.04,367.18,31230
2010-10-19,365.17,377.98,364.12,369.91,369.58,43830
2010-10-20,370.23,373.15,363.69,368.83,368.75,31600
2010-10-21,365.37,367.04,359.14,364.42,364.6,60070
2010-10-22,350.42,362.21,347.4,360.92,361.12,75590
2010-10-25,359.36,376.57,356.34,361.05,361.18,19360
2010-10-26,373.53,379.9,357.36,361.39,361.53,49200
2010-10-27,370.22,376.79,359.22,361.61,361.41,82000
2010-10-28,364.25,383.61,354.95,360.38,360.99,32810
2010-10-29,357.76,371.34,347.97,368.09,368.19,21640
2010-11-01,384.85,388.6,366.01,370.16,370.06,76440
2010-11-02,375.08,376.48,367.1,371.54,371.62,75450
2010-11-03,371.04,375.03,366.67,372.07,372.69,49800
2010-11-04,358.45,371.45,356.93,369.33,369.2,41690
2010-11-05,368.78,374.97,367.57,368.33,368.65,47390
2010-11-08,364.18,368.09,359.14,363.0,362.71,95210
2010-11-09,356.29,363.3,352.87,361.17,361.05,48040
2010-11-10,378.71,384.7,354.4,359.91,360.28,44560
2010-11-11,353.1,362.02,349.5,357.97,357.95,81380
2010-11-12,349.39,355.8,341.12,355.74,355.7,29070
2010-11-15,348.91,353.08,346.93,350.88,350.8,82500
