Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,803.81,814.24,788.87,794.25,794.85,20730
2010-07-20,779.75,808.61,765.7,796.85,796.21,75900
2010-07-21,820.82,833.62,785.67,791.06,789.61,43070
2010-07-22,798.55,810.27,784.83,791.2,792.08,14990
2010-07-23,792.6,800.38,780.94,793.68,793.99,60870
2010-07-26,803.26,821.92,802.16,803.5,803.81,24030
2010-07-27,838.42,859.55,792.78,807.67,809.4,39650
2010-07-28,810.03,818.35,784.21,816.27,816.22,71710
2010-07-29,820.16,830.68,798.9,809.35,809.61,39130
2010-07-30,778.49,814.57,770.64,814.2,814.51,90820
2010-08-02,822.09,824.85,796.17,821.41,822.09,94990
2010-08-03,804.63,823.34,795.11,817.59,817.94,34360
2010-08-04,783.88,830.56,769.31,818.38,817.84,118020
2010-08-05,813.97,842.36,806.29,808.44,806.25,82190
2010-08-06,818.32,822.19,790.75,802.89,801.56,50370
2010-08-09,784.78,810.2,759.55,806.24,804.77,22490
2010-08-10,826.88,829.59,801.35,812.01,812.36,53780
2010-08-11,796.32,820.7,790.09,809.17,809.33,28630
2010-08-12,810.47,814.69,802.85,803.28,803.33,20370
2010-08-13,796.5,809.76,791.8,797.87,799.17,83770
2010-08-16,815.31,821.0,792.19,803.6,805.45,105780
2010-08-17,844.6,848.19,785.24,811.88,810.31,34900
2010-08-18,820.66,830.14,798.0,810.61,810.43,72520
2010-08-19,809.04,827.32,801.83,815.76,815.18,75160
2010-08-20,858.52,860.19,799.95,802.4,802.7,67300
2010-08-23,789.48,801.1,783.13,795.71,797.61,93900
2010-08-24,774.41,811.03,772.22,799.47,798.89,59300
2010-08-25,788.05,790.58,772.32,786.1,785.28,107870
2010-08-26,815.81,826.65,791.05,795.18,796.02,39230
2010-08-27,774.15,810.7,757.75,799.81,798.28,106680
2010-08-30,837.85,843.42,811.96,815.15,813.84,87850
2010-08-31,831.78,846.75,807.57,816.75,816.11,51410
2010-09-01,819.48,829.04,808.61,819.9,820.51,21890
2010-09-02,820.88,828.95,789.58,810.89,811.27,39150
2010-09-03,789.33,822.55,782.49,809.24,809.56,65310
2010-09-06,829.13,841.5,800.53,815.48,815.82,52550
2010-09-07,825.9,840.58,818.97,826.21,826.01,142650
2010-09-08,829.27,842.04,828.15,833.68,833.88,27220
2010-09-09,841.22,847.63,831.18,837.05,837.05,1030
2010-09-10,846.54,868.66,827.68,830.46,830.18,25760
2010-09-13,825.69,831.87,803.07,816.35,816.35,63760
2010-09-14,822.1,828.77,812.27,813.72,814.46,16430
2010-09-15,833.89,843.86,816.6,818.13,817.54,64610
2010-09-16,821.36,831.72,814.55,826.35,826.64,11420
2010-09-17,848.31,865.18,797.37,820.84,821.01,63070
2010-09-20,823.11,838.64,821.48,823.54,823.31,66100
2010-09-21,811.57,832.86,794.66,821.19,821.4,1890
2010-09-22,838.56,861.41,790.67,823.67,824.99,105350
2010-09-23,848.46,863.69,809.41,826.55,825.55,94730
2010-09-24,833.25,838.81,818.68,822.56,822.29,30250
2010-09-27,833.19,842.18,818.09,831.91,831.13,70270
2010-09-28,844.37,859.16,825.3,838.16,837.58,36500
