Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,624.18,633.16,603.7,605.08,604.5,33700
2010-07-20,616.62,621.26,599.34,609.02,608.94,69700
2010-07-21,620.09,631.23,601.57,604.13,603.77,25210
2010-07-22,614.4,627.82,595.76,598.4,597.39,18620
2010-07-23,593.63,603.44,581.42,593.36,593.39,45590
2010-07-26,593.65,609.64,589.13,601.46,601.53,11530
2010-07-27,602.45,616.19,591.53,597.59,597.45,96860
2010-07-28,624.59,631.85,593.55,604.0,603.81,86290
2010-07-29,588.47,598.99,578.68,592.66,592.31,30450
2010-07-30,599.67,608.89,586.13,602.15,602.65,54060
2010-08-02,568.33,583.43,562.84,580.76,580.26,38950
2010-08-03,601.85,605.97,594.45,596.08,596.0,34080
2010-08-04,613.19,622.91,599.64,609.48,608.69,49080
2010-08-05,599.23,602.76,586.85,595.92,595.68,16920
2010-08-06,596.83,610.57,583.05,606.68,606.95,44560
2010-08-09,597.44,605.86,579.24,594.77,595.69,44460
2010-08-10,593.62,604.19,591.29,594.63,593.87,71670
2010-08-11,602.26,611.36,598.29,599.27,598.73,68570
2010-08-12,611.95,612.36,605.38,609.18,609.64,59760
2010-08-13,586.9,610.48,575.35,605.5,605.44,66580
2010-08-16,602.53,613.86,585.75,597.43,598.21,27060
2010-08-17,606.61,620.4,596.96,612.55,613.51,40150
2010-08-18,637.04,639.71,609.23,612.56,612.61,53930
2010-08-19,613.64,630.66,610.01,610.82,611.55,41560
2010-08-20,628.06,630.59,603.39,608.46,608.46,79900
2010-08-23,588.83,608.02,588.66,606.48,605.97,58840
2010-08-24,611.11,613.02,608.61,609.46,609.18,74140
2010-08-25,595.59,614.91,574.66,600.09,599.59,25100
2010-08-26,609.11,610.92,594.64,599.56,598.9,40400
2010-08-27,612.32,624.23,600.99,602.51,603.02,14880
2010-08-30,574.38,594.68,571.6,592.9,592.36,134810
2010-08-31,583.47,585.81,578.89,582.11,582.71,96710
2010-09-01,588.32,597.44,583.43,591.69,591.56,1310
2010-09-02,599.43,602.19,576.81,592.36,592.3,41170
2010-09-03,598.94,599.23,576.81,584.57,585.05,91210
2010-09-06,599.52,599.52,571.39,582.92,584.28,4620
2010-09-07,598.91,608.32,575.17,579.66,578.89,98330
2010-09-08,569.79,581.34,569.75,577.04,577.81,45960
2010-09-09,586.69,587.2,572.55,582.9,581.97,19330
2010-09-10,597.52,608.68,577.22,590.4,591.12,7010
2010-09-13,568.65,588.48,564.66,570.12,570.95,90960
2010-09-14,585.21,602.89,568.79,568.9,568.59,64940
2010-09-15,570.82,578.67,559.28,560.01,559.33,81540
2010-09-16,579.79,592.86,568.44,573.58,572.85,48270
2010-09-17,572.89,577.68,567.3,572.05,572.09,40440
2010-09-20,565.76,573.18,555.74,570.72,570.92,2490
2010-09-21,553.37,575.2,551.47,570.16,568.9,33420
2010-09-22,546.06,569.88,545.57,553.0,552.48,44310
