Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,918.97,927.19,893.0,897.69,897.01,87770
2010-07-20,889.58,900.1,884.68,899.68,899.59,8050
2010-07-21,918.53,933.99,891.07,902.32,901.91,70630
2010-07-22,903.36,918.28,889.1,915.99,917.54,2650
2010-07-23,878.57,929.67,871.19,914.67,913.39,42280
2010-07-26,944.09,955.58,922.07,927.94,929.31,60420
2010-07-27,951.16,967.94,906.03,927.4,927.28,62090
2010-07-28,920.0,945.24,912.84,925.99,925.13,62800
2010-07-29,939.11,949.87,906.93,926.66,927.88,66880
2010-07-30,927.81,928.47,917.5,923.26,923.39,10200
2010-08-02,952.93,954.88,921.62,932.78,933.96,26950
2010-08-03,946.57,953.25,914.64,933.78,933.87,107910
2010-08-04,911.64,934.59,905.14,933.85,934.05,45000
2010-08-05,940.49,949.51,911.87,923.96,922.51,8650
2010-08-06,879.72,926.58,858.47,924.45,924.17,57990
2010-08-09,898.23,947.36,893.63,924.7,923.53,11550
2010-08-10,936.94,940.35,922.83,923.82,923.2,5840
2010-08-11,942.68,959.46,908.82,923.24,924.08,32380
2010-08-12,954.73,966.01,925.92,931.13,930.2,62830
2010-08-13,916.19,932.14,911.31,927.16,926.05,57800
2010-08-16,920.41,935.26,908.77,919.96,920.05,29690
2010-08-17,922.93,932.7,920.47,923.19,923.51,36810
2010-08-18,932.45,937.75,906.29,920.32,919.9,50950
2010-08-19,922.04,937.35,906.09,933.36,932.87,92310
2010-08-20,920.55,940.99,899.54,929.55,929.45,58020
2010-08-23,955.52,962.71,917.81,932.29,930.72,70530
2010-08-24,938.64,948.96,889.94,936.68,936.19,3590
2010-08-25,954.53,961.2,938.14,938.57,938.19,5180
2010-08-26,921.4,942.21,915.48,934.06,931.47,70380
2010-08-27,927.58,953.81,902.47,938.37,938.19,19840
2010-08-30,957.06,962.18,929.47,955.24,955.46,100060
2010-08-31,956.98,988.52,946.49,948.79,949.09,59090
2010-09-01,940.54,952.46,936.07,950.35,951.2,5880
2010-09-02,948.27,969.27,932.46,945.11,947.04,58430
2010-09-03,945.24,956.03,924.72,934.9,934.79,44850
2010-09-06,952.17,960.2,914.96,927.24,926.57,65630
2010-09-07,928.77,937.31,912.23,921.61,922.15,62360
2010-09-08,931.56,949.13,921.69,924.21,923.45,103110
2010-09-09,907.07,931.65,904.79,931.0,931.65,74910
2010-09-10,963.38,966.86,931.42,932.22,932.96,79940
2010-09-13,934.03,948.26,908.34,934.76,935.92,6670
2010-09-14,917.67,935.6,896.83,933.52,934.39,48050
2010-09-15,952.22,959.0,929.81,934.99,933.34,7330
2010-09-16,923.59,960.07,900.36,944.08,943.25,1060
2010-09-17,912.45,955.09,898.63,942.22,941.73,24060
2010-09-20,912.03,958.51,900.15,951.02,951.27,62160
2010-09-21,968.02,970.18,945.47,955.88,955.18,73460
2010-09-22,946.04,967.17,943.14,962.35,962.26,39300
2010-09-23,959.77,980.75,947.72,970.04,969.53,65590
2010-09-24,994.67,1003.69,961.68,968.35,966.15,65680
2010-09-27,961.06,972.85,959.27,972.33,972.0,48500
2010-09-28,951.73,990.02,949.96,968.4,967.98,59090
2010-09-29,979.37,1011.73,978.51,981.07,981.57,32370
2010-09-30,975.48,989.01,955.19,982.82,981.51,77420
2010-10-01,949.04,1013.99,939.88,987.19,986.4,65700
2010-10-04,986.24,1000.87,983.79,984.06,984.97,8700
2010-10-05,969.36,982.92,962.73,977.96,978.19,64260
2010-10-06,988.24,1008.61,955.25,969.34,968.76,78660
2010-10-07,974.41,998.43,959.51,969.32,970.62,15580
2010-10-08,980.59,982.59,945.59,970.41,971.8,35870
2010-10-11,1002.95,1032.67,982.22,984.22,984.21,10610
2010-10-12,983.9,1010.03,969.85,987.32,987.86,44460
2010-10-13,964.34,978.99,957.65,978.03,976.56,65230
2010-10-14,962.94,996.39,948.82,977.34,975.46,30190
2010-10-15,1005.29,1008.82,945.82,983.98,983.78,74030
2010-10-18,955.68,978.46,945.46,973.69,973.34,74560
2010-10-19,959.07,978.15,948.13,970.54,969.47,37070
2010-10-20,964.84,988.08,949.49,976.22,976.26,65940
2010-10-21,967.72,993.86,956.52,968.66,969.54,56760
2010-10-22,979.24,993.23,960.17,967.86,967.69,59370
2010-10-25,961.72,972.1,922.95,942.85,942.31,54310
2010-10-26,962.08,975.36,928.78,944.4,943.54,40530
2010-10-27,968.59,971.01,944.12,948.51,949.44,64500
2010-10-28,929.41,947.31,928.42,944.01,944.95,54480
2010-10-29,944.88,952.9,932.92,943.07,943.08,83270
2010-11-01,902.13,939.04,887.03,934.7,934.69,65650
2010-11-02,920.04,945.57,902.24,943.62,944.17,40350
2010-11-03,953.32,965.48,929.12,945.67,946.34,92850
2010-11-04,928.59,955.43,911.75,952.68,953.94,49250
2010-11-05,937.52,958.73,935.26,954.49,953.39,84220
2010-11-08,1006.55,1011.87,921.51,952.53,954.38,73870
2010-11-09,981.53,992.5,938.97,947.88,948.12,72730
