Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,397.35,400.68,388.97,395.65,396.05,23040
2010-07-20,404.42,406.13,401.2,403.05,402.98,57600
2010-07-21,414.08,420.4,396.92,406.08,406.83,17850
2010-07-22,394.34,408.82,393.61,403.25,403.62,121640
2010-07-23,408.87,416.61,402.45,403.66,403.77,110260
2010-07-26,415.13,415.67,410.71,410.95,410.62,88060
2010-07-27,418.79,425.03,410.68,414.61,414.71,73010
2010-07-28,421.33,426.89,416.98,422.5,422.12,38620
2010-07-29,411.93,423.69,411.26,422.41,423.25,90190
2010-07-30,436.78,445.09,407.21,426.27,425.88,18270
2010-08-02,422.99,438.44,413.76,420.55,420.8,33000
2010-08-03,419.72,421.49,413.26,417.98,418.14,41750
2010-08-04,419.32,424.89,408.53,423.27,423.67,44100
2010-08-05,406.16,422.67,397.18,421.15,421.16,77760
2010-08-06,431.79,439.79,423.22,424.92,425.49,67020
2010-08-09,410.1,425.29,401.81,419.49,420.92,74620
2010-08-10,428.25,430.68,414.2,420.94,420.6,38890
2010-08-11,406.7,425.85,402.86,418.43,418.66,96320
2010-08-12,419.26,422.07,409.58,414.53,414.88,53460
2010-08-13,425.52,429.71,411.36,422.02,422.34,44680
2010-08-16,419.91,446.78,408.28,438.99,439.15,25910
2010-08-17,431.77,436.07,429.83,435.33,434.97,100050
2010-08-18,434.93,443.66,425.09,439.44,439.75,17410
2010-08-19,446.88,452.41,431.32,435.94,435.56,58450
2010-08-20,435.07,437.16,428.42,430.71,430.32,66070
2010-08-23,418.87,437.37,405.28,429.27,429.49,21580
2010-08-24,415.69,440.45,414.57,432.17,432.11,60940
2010-08-25,432.73,442.25,432.72,433.81,434.74,72890
2010-08-26,445.98,455.74,435.27,435.58,435.21,5130
2010-08-27,448.81,457.17,431.86,439.7,439.47,33720
2010-08-30,427.41,442.98,424.06,429.98,430.41,17040
2010-08-31,429.83,434.67,427.46,430.73,430.96,23390
2010-09-01,448.48,455.96,429.74,438.12,438.84,25310
2010-09-02,445.9,450.47,437.71,440.36,440.36,67070
2010-09-03,459.7,463.36,416.53,434.98,436.01,19290
2010-09-06,445.79,447.76,438.98,443.11,442.84,9880
2010-09-07,428.45,443.74,425.49,442.17,442.07,31100
2010-09-08,444.66,450.7,437.25,448.21,447.16,30260
2010-09-09,451.26,460.28,450.82,451.06,450.21,35750
2010-09-10,476.94,489.4,456.76,461.86,461.57,37230
2010-09-13,460.07,468.72,456.02,467.75,468.61,54030
2010-09-14,464.06,471.85,453.19,462.78,462.29,55000
2010-09-15,464.97,471.88,462.96,463.05,462.53,54670
2010-09-16,477.28,498.53,451.54,460.39,460.14,30820
2010-09-17,445.81,470.0,443.81,456.73,456.51,51860
2010-09-20,457.82,461.4,448.83,459.69,459.08,26680
2010-09-21,442.51,461.97,437.41,456.09,456.24,74320
2010-09-22,467.86,475.2,450.41,460.73,460.65,40320
2010-09-23,469.87,475.05,458.98,461.69,462.5,116160
2010-09-24,452.67,455.81,451.07,452.79,452.86,28480
2010-09-27,455.2,469.62,449.39,451.47,451.17,32200
2010-09-28,442.11,463.66,432.33,449.71,449.2,51950
2010-09-29,442.08,455.55,436.81,449.22,449.68,80230
2010-09-30,454.11,458.52,452.1,456.51,457.12,53180
2010-10-01,467.66,481.98,438.48,452.08,452.26,36580
2010-10-04,462.81,463.88,457.93,458.96,459.04,23600
2010-10-05,443.61,457.87,432.71,450.75,450.68,58670
2010-10-06,442.38,454.67,440.02,452.58,452.51,28450
2010-10-07,470.12,476.04,459.28,459.38,459.25,41360
2010-10-08,471.21,471.82,458.87,460.22,459.73,57290
2010-10-11,482.68,489.29,464.55,465.08,465.23,91840
2010-10-12,474.37,474.63,441.89,460.39,460.59,90640
2010-10-13,440.72,461.78,440.51,457.02,456.89,46590
2010-10-14,441.51,452.15,439.97,450.06,450.54,69260
2010-10-15,448.09,449.4,442.03,447.86,448.04,46710
2010-10-18,453.8,456.23,434.32,450.5,450.84,44770
2010-10-19,440.77,465.66,433.22,458.96,458.46,72900
2010-10-20,459.84,470.26,447.27,458.55,459.23,78360
2010-10-21,450.3,469.09,449.45,460.76,460.27,49510
2010-10-22,458.39,471.64,454.93,468.35,468.74,78690
2010-10-25,481.54,492.44,462.0,468.41,467.98,62040
2010-10-26,457.72,469.9,457.51,466.72,467.53,57780
2010-10-27,479.71,486.02,462.71,469.14,469.27,32040
2010-10-28,474.46,476.7,458.75,459.78,459.38,6600
2010-10-29,452.17,464.1,437.42,450.36,450.17,57970
2010-11-01,481.4,487.59,461.1,461.53,460.85,99080
2010-11-02,449.91,474.22,446.43,466.48,465.93,53860
2010-11-03,471.33,475.92,457.23,465.13,465.52,23730
2010-11-04,480.39,486.74,461.5,470.12,469.92,65660
2010-11-05,442.45,463.85,440.72,460.7,459.96,113800
2010-11-08,475.25,487.3,454.59,464.38,464.38,109760
2010-11-09,459.62,461.77,454.09,461.7,462.02,78790
2010-11-10,473.02,474.26,461.57,464.47,464.54,96440
